Trial,Rat Decison,STIMULUS_TYPE,HEADING_DIRECTION,TrialBeginRealTime,AudioStartRealTime,HeadEnterCenterRealTime,StimulusStartRealTime,RobotEndMovingForwardRealTime,CenterRewardRealTime,GoCueSoundRealTime,RatDecisionRealTime,SideRewardSoundRealTime,RightRewardRealTime,RobotStartMovingBackwardRealTime,TotalManualReward
1.0,Right,2.0,-15.0,1.0,704.0,1718.0,1741.0,2810.0,3834.0,3889.0,4522.0,,,5355.0,0.0
2.0,Right,2.0,-7.5,0.0,695.0,717.0,731.0,1798.0,2815.0,2863.0,3651.0,,,4478.0,0.0
3.0,DurationTime,2.0,15.0,0.0,702.0,1005.0,1021.0,2084.0,,,,,,2898.0,0.0
4.0,DurationTime,2.0,-30.0,0.0,703.0,724.0,737.0,1802.0,,,,,,2616.0,0.0
5.0,DurationTime,2.0,15.0,0.0,695.0,718.0,737.0,1804.0,,,,,,2618.0,0.0
6.0,Right,2.0,-60.0,0.0,701.0,724.0,740.0,1801.0,2819.0,2866.0,3411.0,,,4233.0,0.0
7.0,Right,2.0,-30.0,0.0,732.0,754.0,769.0,1829.0,2847.0,2892.0,4515.0,,,5338.0,0.0
8.0,DurationTime,2.0,15.0,0.0,702.0,726.0,739.0,1803.0,,,,,,2620.0,0.0
9.0,Right,2.0,30.0,0.0,696.0,718.0,730.0,1799.0,2815.0,2864.0,3600.0,3624.0,3725.0,4740.0,0.0
10.0,Right,2.0,15.0,0.0,745.0,768.0,789.0,1852.0,2869.0,2916.0,3381.0,3405.0,3503.0,4523.0,0.0
11.0,Right,2.0,7.5,0.0,732.0,1214.0,1227.0,2288.0,3307.0,3352.0,4486.0,4510.0,4610.0,5624.0,0.0
12.0,Right,2.0,60.0,0.0,694.0,1617.0,1635.0,2701.0,3714.0,3765.0,4388.0,4411.0,4514.0,5531.0,0.0
13.0,Left,2.0,7.5,0.0,727.0,951.0,968.0,2028.0,3045.0,3092.0,3549.0,,,4377.0,0.0
14.0,Right,2.0,-30.0,0.0,687.0,707.0,724.0,1785.0,2805.0,2849.0,3689.0,,,4512.0,0.0
15.0,Right,2.0,-60.0,0.0,740.0,763.0,780.0,1851.0,2870.0,2917.0,4255.0,,,5079.0,0.0
16.0,Right,2.0,30.0,0.0,699.0,720.0,736.0,1806.0,2824.0,2870.0,3488.0,3511.0,3614.0,4632.0,0.0
17.0,Left,2.0,-15.0,0.0,738.0,1482.0,1501.0,2562.0,3580.0,3626.0,4697.0,4721.0,,5889.0,0.0
18.0,Right,2.0,15.0,0.0,730.0,753.0,776.0,1838.0,2855.0,2902.0,3164.0,3187.0,3288.0,4306.0,0.0
19.0,Right,2.0,-7.5,0.0,710.0,734.0,752.0,1820.0,2836.0,2879.0,4459.0,,,5285.0,0.0
20.0,Right,2.0,60.0,0.0,739.0,762.0,781.0,1846.0,2865.0,2912.0,3535.0,3558.0,3661.0,4679.0,0.0
21.0,Left,2.0,-7.5,0.0,709.0,731.0,743.0,1816.0,2833.0,2880.0,3511.0,3535.0,,4703.0,0.0
22.0,Right,2.0,-15.0,0.0,698.0,718.0,733.0,1794.0,2812.0,2859.0,3427.0,,,4248.0,0.0
23.0,Right,2.0,7.5,0.0,727.0,750.0,769.0,1828.0,2844.0,2896.0,4347.0,4370.0,4470.0,5490.0,0.0
